Title,Name,Product_Id,Variant_Id,Sku,Barcode,Variant_Title,Product_Type,Product_Category,Product_Type,Product_Sub_Type,Product_Campaign,Campaign_Year,is_print,Print_Solid_Name,Base_Fabric_Color,Made_In,Manufacturer
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 3T,,1.25345E+13,AW18jumpsuitFF003,,3T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 3T,,1.25345E+13,AW18jumpsuitFF003,,3T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 4T,,1.25345E+13,AW18jumpsuitFF004,,4T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 4T,,1.25345E+13,AW18jumpsuitFF004,,4T,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 5,,1.25345E+13,AW18jumpsuitFF005,,5,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 5,,1.25345E+13,AW18jumpsuitFF005,,5,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 6,,1.25345E+13,AW18jumpsuitFF006,,6,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 6,,1.25345E+13,AW18jumpsuitFF006,,6,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
THE JUMPSUIT IN FALL FLORAL,THE JUMPSUIT IN FALL FLORAL - 7,,1.25345E+13,AW18jumpsuitFF007,,7,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Fall Floral,,USA,Left in Stitches
THE JUMPSUIT IN NAVY DOT,THE JUMPSUIT IN NAVY DOT - 7,,1.25345E+13,AW18jumpsuitFF007,,7,,Girl's,Rompers and Sets,Jumpsuit,,,TRUE,Navy Dot,,USA,Left in Stitches
